Branch,Category,Round,Domicile,MinP,MaxP,MeanP,StdP,TotalSeats,BranchSeats,TotalCandidates,Trend
CE,OBC/H/OP,R2,Y,0.27754572271386435,0.5730297375191864,0.3898171051868397,0.16000686375926274,56.333333333333336,1.0,1094863.3333333333,0.03000154498565032
CE,OBC/NCC/OP,R1,Y,0.6226452802359882,0.6226452802359882,0.6226452802359882,0.0,120.0,1.0,1356000.0,0.0
CE,OBC/NCC/OP,R1_Upgrade,Y,0.6226452802359882,0.6226452802359882,0.6226452802359882,0.0,77.0,1.0,1356000.0,0.0
CE,OBC/S/F,R1,Y,0.2803460784313726,0.8776419309142421,0.5367440250284257,0.25836848062880896,130.5,1.0,1106031.25,0.014256397377390807
CE,OBC/S/F,R1_Upgrade,Y,0.40864125122189643,0.5803468395461913,0.49449404538404385,0.12141418587173455,103.5,1.0,1128500.0,-0.03434111766485894
CE,OBC/S/OP,R1,Y,0.5924752293577982,0.8680361356932154,0.6896338629153752,0.15470568819669608,122.0,1.0,1217666.6666666667,-0.06889022658385427
CE,OBC/S/OP,R1_Upgrade,Y,0.5924752293577982,0.8076103301732592,0.6694919277420563,0.11987844501327144,100.0,1.0,1148041.6666666667,0.05578324511251955
CE,OBC/S/OP,R2,Y,0.7559951124144673,0.7559951124144673,0.7559951124144673,0.0,62.0,1.0,1023000.0,0.0
CE,OBC/X/F,INTERNAL,Y,0.2903587716295454,0.8693786246893124,0.5374963389441464,0.2501216578427934,25.2,1.0,1116008.0,-0.04763469162359699
CE,OBC/X/F,R1,Y,0.4368935592972152,0.8703046920583468,0.6909520516451987,0.1734058999073178,137.33333333333334,4.083333333333333,1160438.4166666667,-0.044821868315203225
CE,OBC/X/F,R1_Upgrade,Y,0.2254768374014775,0.8662129246064623,0.6373758153562015,0.2542741753810974,86.1,3.2,1103504.8,-0.07595650025221931
CE,OBC/X/F,R2,Y,0.5650228028136353,0.8701963302752294,0.7752078498261676,0.1050483303847159,50.714285714285715,1.8571428571428572,1089530.7142857143,-0.028222131679830533
CE,OBC/X/OP,INTERNAL,Y,0.190017557614373,0.9160787075393537,0.5373791303907188,0.2592362401878511,22.285714285714285,2.5714285714285716,1076791.5,-0.05105085343045836
CE,OBC/X/OP,R1,Y,0.008427613401078338,0.9475147492625369,0.5938677500131402,0.4261174846553563,137.33333333333334,19.833333333333332,1160438.4166666667,-0.1
CE,OBC/X/OP,R1_Upgrade,Y,0.0699510816153005,0.9471356932153392,0.6683571566025412,0.3540949806467388,86.1,9.7,1103504.8,-0.1
CE,OBC/X/OP,R2,Y,0.08784137605820408,0.9554564896755162,0.728079813629309,0.3510983417995678,53.666666666666664,5.0,1105005.3333333333,-0.08290488290043703
CE,SC/NCC/OP,R1,Y,0.305466814159292,0.6214100917431193,0.46343845295120567,0.22340563404982805,120.0,1.0,1223000.0,0.07898581939595684
CE,SC/X/F,INTERNAL,Y,0.36862952101661783,0.7540977630488815,0.5851079103791715,0.17777553900332274,26.0,1.0,1056397.5,-0.052910470568639754
CE,SC/X/F,R1,Y,0.11707860400256798,0.6882883480825959,0.4512754011285256,0.20127700280254687,135.63636363636363,4.0,1137286.4545454546,-0.05048592801104371
CE,SC/X/F,R1_Upgrade,Y,0.21319745845552296,0.7250591572123177,0.43997200099671413,0.22324537051598775,97.0,2.5714285714285716,1153875.0,-0.09628314092056675
CE,SC/X/F,R2,Y,0.20412438299892888,0.678796992481203,0.5302160852434135,0.19123942411600459,58.2,1.6,1043744.6,-0.05677034586754348
CE,SC/X/OP,INTERNAL,Y,0.021813294232649105,0.8214846029173419,0.2933181730446713,0.22247112521413365,21.9,3.0,1043405.6,-0.027779835695852847
